Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 15.44      3.15     3.15 260261481     0.01     0.01  b2Vec2::b2Vec2(float, float)
  4.85      4.14     0.99                             b2World::SolveTOI(b2TimeStep const&)
  4.75      5.12     0.97 72747625     0.01     0.03  operator-(b2Vec2 const&, b2Vec2 const&)
  4.11      5.96     0.84 59700628     0.01     0.03  operator*(float, b2Vec2 const&)
  3.67      6.71     0.75                             b2ContactSolver::SolveVelocityConstraints()
  3.18      7.36     0.65 10913823     0.06     0.06  b2Vec2::Set(float, float)
  2.74      7.92     0.56 40343085     0.01     0.01  b2Dot(b2Vec2 const&, b2Vec2 const&)
  2.50      8.43     0.51                             b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&)
  2.45      8.93     0.50                             b2Mul(b2Transform const&, b2Vec2 const&)
  1.86      9.30     0.38 25385185     0.01     0.03  operator+(b2Vec2 const&, b2Vec2 const&)
  1.71      9.65     0.35 31160989     0.01     0.01  float b2Max<float>(float, float)
  1.71     10.01     0.35                             b2Max(b2Vec2 const&, b2Vec2 const&)
  1.64     10.34     0.34                             b2Cross(b2Vec2 const&, b2Vec2 const&)
  1.49     10.64     0.30 86561947     0.00     0.00  b2Vec2::b2Vec2()
  1.47     10.95     0.30                             b2Cross(float, b2Vec2 const&)
  1.47     11.24     0.30                             b2Mat33::Solve22(b2Vec2 const&) const
  1.44     11.54     0.29                             b2Contact::IsEnabled() const
  1.42     11.83     0.29                             b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*)
  1.42     12.12     0.29                             b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
  1.32     12.39     0.27 28485383     0.01     0.01  float b2Min<float>(float, float)
  1.32     12.66     0.27                             b2Mul(b2Rot const&, b2Vec2 const&)
  1.22     12.91     0.25                             b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&)
  1.13     13.14     0.23                             b2Sweep::GetTransform(b2Transform*, float) const
  1.05     13.36     0.21                             b2Rot::Set(float)
  1.03     13.56     0.21                             b2Min(b2Vec2 const&, b2Vec2 const&)
